"Provincia","pct_paredes_ladrillo","pct_techos_concreto","pct_pisos_precario","pct_pisos_buenos","indice_algebraico","indice_aritmetico"
"Áncash, provincia: Asunción",9.33970460469157,3.30147697654214,97.9582971329279,2.04170286707212,-0.646855472609484,-0.620511013100064
"Cajamarca, provincia: Contumazá",7.31204943357363,4.47419613228058,97.9974825494908,2.00251745050922,-0.655021870033231,-0.628715138114438
"Ayacucho, provincia: Huanca Sancos",6.95592286501377,6.78374655647383,99.3112947658402,0.688705234159784,-0.668326986779214,-0.641921652975663
"Cajamarca, provincia: San Ignacio",8.66848127985779,4.01344295078325,98.6529274525053,1.34707254749472,-0.67144212592013,-0.644301451975799
"Cajamarca, provincia: Celendín",8.3271859405511,4.7038403124322,98.9151659796051,1.08483402039488,-0.673484470640723,-0.646409031087913
"La Lbertad, provincia: Pataz",8.23829787234042,4.39148936170213,98.7631205673759,1.23687943262412,-0.674804835382818,-0.64763010617547
"Apurímac, provincia: Chincheros",6.93289786223278,5.64133016627078,99.1315320665083,0.868467933491686,-0.684346664251925,-0.657112521769793
"Áncash, provincia: Bolognesi",7.42153124083309,3.82810208272221,98.4599589322382,1.54004106776181,-0.685796615441011,-0.658153586818887
"Puno, provincia: Sandia",8.26769626769627,5.14285714285714,99.6190476190476,0.38095238095238,-0.694846491922809,-0.667007505537703
"Huánuco, provincia: Pachitea",9.14496462441668,3.94400120427518,99.4656028902604,0.534397109739572,-0.699645629971728,-0.671341476298973
"Pasco, provincia: Daniel Alcides Carrión",8.72907746204749,3.46438302841573,99.2798754379136,0.720124562086411,-0.707844178907363,-0.679165432088106
"Puno, provincia: Lampa",7.05828481716491,5.09583306077059,99.5682606135933,0.431739386406747,-0.711767832536549,-0.683346070497564
"Loreto, provincia: Mariscal Ramón Castilla",9.38314509122502,0.540592721305145,98.2334202143064,1.76657978569359,-0.713704901828325,-0.684238039898854
"Lima, provincia: Yauyos",8.80821306353221,3.22868620740961,99.3602142538313,0.639785746168712,-0.714796031081347,-0.685795670984305
"Cusco, provincia: Chumbivilcas",4.47457627118644,5.97578692493947,99.2832929782082,0.716707021791763,-0.720660147833171,-0.692240006633873
"Áncash, provincia: Huari",6.21829062052816,4.01326915571745,99.0633537140627,0.936646285937286,-0.72521985735412,-0.696144589149481
"Loreto, provincia: Requena",10.3912182238362,0.594255529877847,98.9105315285573,1.08946847144273,-0.725802304417047,-0.695788361507321
"Loreto, provincia: Loreto",9.87308146399056,0.76741440377804,98.8193624557261,1.18063754427391,-0.72623262243122,-0.696271893157186
"Huancavelica, provincia: Huaytará",5.15608013666718,4.03789408293213,98.8662835844075,1.13371641559247,-0.732380316711592,-0.70310891876297
"Tacna, provincia: Candarave",7.95690012432656,3.56402818068794,99.7513468711148,0.248653128885195,-0.73704951154817,-0.70729398503019
"Ayacucho, provincia: Parinacochas",6.93515182707154,3.33247555326814,99.3309315491508,0.669068450849196,-0.73948015739497,-0.709667942578081
"Ayacucho, provincia: Páucar del Sara Sara",6.33848133848134,2.41312741312741,98.8738738738739,1.12612612612612,-0.747978915808247,-0.717718238931585
"Puno, provincia: Huancané",6.1441597915762,4.22058184976118,99.7351280937907,0.264871906209294,-0.75016175515856,-0.720142546268865
"Huánuco, provincia: Puerto Inca",7.6279922116596,1.48894742870232,98.9462833581491,1.05371664185088,-0.750466953194984,-0.719847900661055
"Puno, provincia: Carabaya",5.14046121593291,4.20125786163522,99.4046121593291,0.595387840670853,-0.751768892713228,-0.721760840319633
"Huancavelica, provincia: Tayacaja",4.89452867501648,3.83157547791694,99.2790046143705,0.720995385629536,-0.757704599043459,-0.727417174293909
"Tacna, provincia: Tarata",7.48031496062992,2.66841644794401,99.6500437445319,0.349956255468058,-0.758119733690223,-0.727413766830847
"Huancavelica, provincia: Churcampa",4.6999276934201,3.65664704059498,99.24594566677,0.75405433323003,-0.762784178630454,-0.73228090623617
"Loreto, provincia: Ucayali",6.43191702910672,0.644028103044497,98.5446637671462,1.4553362328538,-0.76873383694977,-0.737339799480808
"Cajamarca, provincia: Santa Cruz",5.17532179316467,2.24589436307146,99.005770084332,0.994229915668001,-0.774272546162805,-0.743034369218819
"Ayacucho, provincia: Lucanas",4.82539682539683,3.18614718614719,99.4170274170274,0.582972582972587,-0.777594574073215,-0.746414951799288
"La Lbertad, provincia: Gran Chimú",4.71904333290472,2.4045261669024,99.022759418799,0.977240581200974,-0.778586957134286,-0.747241197040498
"Ayacucho, provincia: Víctor Fajardo",3.81308929561841,3.25845812534664,99.2373821408763,0.762617859123679,-0.783768520376748,-0.752436119181838
"Ayacucho, provincia: Cangallo",4.48574486717914,3.42512406344264,99.6302422886056,0.369757711394385,-0.786725005716586,-0.75525233195371
"Áncash, provincia: Ocros",6.00235386426049,1.72616712436249,99.3723028638682,0.627697136131815,-0.787747646073841,-0.755822845221004
"Huancavelica, provincia: Acobamba",3.86671418389166,3.14504632929437,99.3139700641483,0.686029935851749,-0.788464289201205,-0.75692255517053
"Loreto, provincia: Datem del Marañón",6.59318836262536,0.724853539866945,99.2453579584947,0.754642041505321,-0.793928626497196,-0.761540483627297
"Huancavelica, provincia: Castrovirreyna",4.68688460023631,2.75699094131548,99.6061441512407,0.393855848759344,-0.796266831146648,-0.764285927095935
"Arequipa, provincia: La Unión",4.03111739745403,2.78170674210278,99.4578029231495,0.542197076850542,-0.79938088693999,-0.767332172034746
"Ayacucho, provincia: Sucre",3.40400119438638,2.98596595998806,99.5521051060018,0.44789489399821,-0.808551475899924,-0.776224458516921
"Lima, provincia: Cajatambo",4.49282075034738,1.66743862899491,99.3052339045854,0.69476609541455,-0.808715262575761,-0.776069100634119
"Cajamarca, provincia: San Miguel",4.85963983050847,1.72139830508475,99.4703389830508,0.529661016949163,-0.809025970034064,-0.776348355915836
